Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Trade Flow,Scale,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Vietnam,VN,VNM,Comparative advantage in low carbon technology products,Index,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLA,Trade in Low Carbon Technology Products; Comparative Advantage,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,,,0.0431388862996623,0.0956648495935911,0.0885521048045786,0.090884961160551,0.129197913668592,0.121302408426217,0.213634405716603,0.295210592913029,0.246570862558592,0.257023186215012,0.283235634823893,0.366417439347969,0.457309300724844,0.388079544572865,0.383210080350262,0.316283881471403,0.524147789210917,0.733262404739062,0.847586805765799,0.789981781459957,0.63742249716861,0.618486861678299,0.422883043514127,
Vietnam,VN,VNM,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,22406000.0,52101204.0,52404201.0,65869788.0,129807847.0,148964665.0,328233494.0,558639277.0,609477416.0,645388048.0,860166169.0,1382984096.0,2041309281.0,1975443161.0,2264636260.0,2654969760.0,4865616429.85,8503438645.1,9076005451.38,9670592216.19,9260374869.304,10502045335.247,6545187016.172,
Vietnam,VN,VNM,Exports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,0.0566027074858298,0.126163461276365,0.117595587612748,0.131127417239651,0.206447402818716,0.203511099633736,0.389360433581537,0.567571909110887,0.488533667435751,0.500215190032114,0.600622365511364,0.807287384794941,1.04591887351541,0.928625724054396,0.97241495744586,1.12120919210269,1.92968046739674,3.06904570377239,2.98092001947039,2.91442365477141,2.67400966376121,2.83780446778634,1.60435013637137,
Vietnam,VN,VNM,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,0.154708625523642,0.3466057137505,0.313606802409509,0.326797855579723,0.489384828093455,0.45782925941011,0.822790073776042,1.14889850683466,0.970638904302704,1.12210301172164,1.22445144110872,1.48093064360293,1.83420920229277,1.53440749996087,1.55258092653847,1.37328851307305,2.27444893123814,3.34382183187421,3.79397274078671,3.72828667548124,3.33983009286766,3.17827735574063,1.79683291103239,
Vietnam,VN,VNM,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,802668000.0,516622128.0,795588639.0,1275625062.0,841969026.0,972598092.0,1330601899.0,2990369973.0,3127388959.0,2925606786.0,3448441460.0,4331826497.0,4746223537.0,6240208655.0,6863616485.0,8897803259.0,9357454027.8,15145650252.1,14735632781.21,16127627365.23,18628068395.136,21184220753.324,14909678869.53,
Vietnam,VN,VNM,Imports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,2.02772391378363,1.25100440750738,1.78530941634301,2.53939514343404,1.33907404435653,1.32873461773363,1.57839995548735,3.03818593572231,2.50679476799243,2.26752410267479,2.40791970398067,2.52861106231301,2.43185333132837,2.93342698737353,2.94717674978231,3.75759413678297,3.71112201759917,5.46634070957069,4.83976601737212,4.8603785205497,5.37900847523058,5.72428268792472,3.65464657747455,
Vietnam,VN,VNM,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,5.13001593986851,3.18538800079991,4.02919454865155,5.04980706520125,2.63371937739196,2.64572480889057,2.96406544550806,4.76445768405869,3.87470771044028,4.18249746362011,4.13656863275635,4.14850569000255,4.25135414175252,4.8277309470027,4.74079041624271,5.18421401941323,5.13507468701009,6.86646085998786,6.3367595119256,6.47662113451285,7.19829530511163,6.52157393530787,4.24935172794387,
Vietnam,VN,VNM,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,825074000.0,568723332.0,847992840.0,1341494850.0,971776873.0,1121562757.0,1658835393.0,3549009250.0,3736866375.0,3570994834.0,4308607629.0,5714810593.0,6787532818.0,8215651816.0,9128252745.0,11552773019.0,14223070457.65,23649088897.2,23811638232.59,25798219581.42,27888443264.44,31686266088.571,21454865885.702,
Vietnam,VN,VNM,Total trade in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,2.08432662126946,1.37716786878375,1.90290500395576,2.67052256067369,1.54552144717525,1.53224571736737,1.96776038906888,3.6057578448332,2.99532843542818,2.7677392927069,3.00854206949203,3.33589844710795,3.47777220484379,3.86205271142793,3.91959170722817,4.87880332888566,5.6408024849959,8.53538641334309,7.82068603684252,7.77480217532111,8.05301813899179,8.56208715571107,5.25899671384592,
Vietnam,VN,VNM,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,,,,,-780262000.0,-464520924.0,-743184438.0,-1209755274.0,-712161179.0,-823633427.0,-1002368405.0,-2431730696.0,-2517911543.0,-2280218738.0,-2588275291.0,-2948842401.0,-2704914256.0,-4264765494.0,-4598980225.0,-6242833499.0,-4491837597.95,-6642211607.0,-5659627329.83,-6457035149.04,-9367693525.832,-10682175418.077,-8364491853.358,
