month,year,tavg,tmin,tmax,prcp
1,2021,15.418939393939393,1.1999999999999993,27.2,11.669999999999998
1,2022,16.850649350649352,6.100000000000001,27.8,299.44
1,2023,15.759016393442622,2.8,30.5,16.259999999999998
1,2024,18.345132743362832,5.6,29.4,261.6
2,2021,19.70344827586207,9.900000000000002,29.4,85.34
2,2022,14.279104477611941,4.4,30.0,417.83
2,2023,19.098936170212767,6.7,29.4,168.9
2,2024,18.67966101694915,5.6,32.8,43.42
3,2021,22.023776223776224,12.2,35.0,155.94
3,2022,22.026973684210525,10.0,34.4,310.38
3,2023,21.562698412698413,11.1,34.400000000000006,81.8
3,2024,20.95496183206107,8.9,35.0,72.66
4,2021,24.37027027027027,11.6,36.1,560.83
4,2022,23.329931972789115,8.9,36.1,179.33
4,2023,24.784285714285716,14.5,37.8,125.47
4,2024,27.108633093525178,17.8,40.6,206.5
5,2021,28.456666666666667,19.4,39.4,320.3
5,2022,25.561904761904763,17.2,35.0,1562.3300000000002
5,2023,29.032967032967033,18.9,41.1,65.01
5,2024,26.984892086330937,18.3,37.2,1449.34
6,2021,29.27603305785124,19.4,40.0,868.4300000000001
6,2022,28.58590604026846,17.699999999999996,39.4,1067.33
6,2023,28.564912280701755,18.8,39.5,1032.74
6,2024,28.54625850340136,20.0,38.9,1354.79
7,2021,28.68230088495575,20.0,38.3,880.6
7,2022,28.759060402684565,17.200000000000003,38.9,965.19
7,2023,29.44298245614035,18.90000000000001,38.89999999999999,564.64
7,2024,28.219819819819822,20.5,39.39999999999999,1684.24
8,2021,28.674603174603174,16.699999999999996,39.4,862.32
8,2022,27.946103896103896,17.799999999999997,37.2,1324.81
8,2023,27.87142857142857,19.4,37.8,892.27
8,2024,28.35123966942149,18.8,38.39999999999999,1081.78
9,2021,27.358035714285712,17.099999999999998,36.7,833.12
9,2022,27.04909090909091,17.800000000000004,37.2,790.93
9,2023,27.054411764705883,18.9,36.1,859.26
9,2024,27.245669291338583,17.799999999999997,37.2,1646.18
10,2021,22.41465517241379,13.4,35.1,997.68
10,2022,25.10847457627119,16.1,32.8,98.3
10,2023,25.555,16.599999999999998,35.6,131.32
10,2024,25.034343434343434,14.4,35.0,220.22
11,2021,20.31359223300971,9.400000000000002,30.1,73.9
11,2022,23.158490566037738,6.599999999999998,31.200000000000003,222.99
11,2023,22.077868852459016,7.8,32.8,174.74
11,2024,21.428846153846152,5.099999999999998,31.7,42.17
12,2021,16.67982456140351,5.6,27.2,9.129999999999999
12,2022,15.668041237113401,3.3,26.200000000000003,37.86
12,2023,17.791275167785237,2.3000000000000007,30.6,55.86
